Date,Open,High,Low,Close,Adj Close,Volume
5/1/2017,151.740005,153.600006,144.419998,151.460007,151.460007,403586900
6/1/2017,151.75,156.5,144.559998,150.979996,150.979996,414677400
7/1/2017,151.720001,175.490005,147.800003,169.25,169.25,419907600
8/1/2017,169.820007,173.050003,165,171.970001,171.970001,303622800
9/1/2017,172.399994,174,161.559998,170.869995,170.869995,304818300
10/1/2017,171.389999,180.800003,168.289993,180.059998,180.059998,318146600
11/1/2017,182.360001,184.25,174,177.179993,177.179993,350998700
12/1/2017,176.029999,182.279999,169.009995,176.460007,176.460007,317095800
1/1/2018,177.679993,190.660004,175.800003,186.889999,186.889999,495655700
2/1/2018,188.220001,195.320007,167.179993,178.320007,178.320007,516621900
3/1/2018,179.009995,186.100006,149.020004,159.789993,159.789993,996201700
4/1/2018,157.809998,161.570007,150.509995,157.929993,157.929993,246971200
