Census Tract,East = 1/ West = 0 ,Total Populaton,Households,Housing Units,Minority Population,Percent Minority,Low Income,Percent Low Income,Less than HS Education,Percent Less than HS Education,Under Age 5,Percent Under Age 5,Over Age 64,Percent Over Age 64,Housing Units Built Before 1960,Percent Housing Units Built Before 1960,NATA Diesel Particulate Matter,NATA Cancer Risk,NATA Respiratory Hazard Index,Traffic Proximity,Wastewater Dischange Indicator,Superfund Proximity,RMP Proximity,TSDF Proximity,Ozone Concentration,PM 2.5 Concentration
3.7067E+11,1,614,343,429,128,0.208469055,200,0.326797386,27,0.055102041,0,0,94,0.153094463,315,0.734265734,1.070136711,51.46614581,2.0253189,14.14422029,0.007663364,0.024458275,0.761428503,2.687984998,47.37717712,9.988332877
3.7067E+11,1,1120,352,352,335,0.299107143,72,0.109923664,0,0,5,0.004464286,115,0.102678571,133,0.377840909,1.070136711,51.46614581,2.0253189,685.7940753,0.008272622,0.024225352,1.016552267,3.174138156,47.37717712,9.988332877
3.7067E+11,0,629,352,377,264,0.419713831,382,0.607313196,33,0.071428571,54,0.085850556,23,0.036565978,246,0.652519894,0.90041341,49.7093322,1.851396768,2194.070624,0.002719785,0.022664163,0.554896228,4.207928961,47.3847549,9.984849041
3.7067E+11,0,2230,725,845,1545,0.692825112,1572,0.704932735,417,0.317835366,377,0.169058296,156,0.069955157,277,0.327810651,0.90041341,49.7093322,1.851396768,510.8866526,0.005452398,0.023148589,0.514767317,2.742811443,47.3847549,9.984849041
3.7067E+11,0,821,404,459,252,0.306942753,305,0.371498173,37,0.0578125,37,0.045066991,91,0.110840438,329,0.716775599,0.90041341,49.7093322,1.851396768,18.12007935,0.004788936,0.026573795,0.27670036,2.469150245,47.3847549,9.984849041
3.7067E+11,0,825,399,457,132,0.16,361,0.437575758,9,0.015625,8,0.00969697,86,0.104242424,399,0.873085339,0.90041341,49.7093322,1.851396768,27.61030653,0.00281952,0.026606088,0.476849191,3.078913583,47.3847549,9.984849041
3.7067E+11,0,825,508,617,190,0.23030303,315,0.381818182,34,0.052713178,24,0.029090909,95,0.115151515,317,0.513776337,1.441593336,55.57558153,2.269870255,292.6998404,0.001906386,0.026371622,0.864677522,3.397876818,47.22851895,9.936121644
3.7067E+11,1,622,318,390,145,0.233118971,331,0.532154341,39,0.088435374,0,0,37,0.059485531,228,0.584615385,1.441593336,55.57558153,2.269870255,2983.632943,0.002476537,0.022805886,0.814728193,3.931597444,47.22851895,9.936121644
3.7067E+11,0,823,355,419,307,0.373025516,299,0.48776509,65,0.1,59,0.071688943,198,0.240583232,211,0.503579952,1.441593336,55.57558153,2.269870255,2011.927231,0.001378786,0.026897253,0.71837763,3.322814801,47.22851895,9.936121644
3.7067E+11,0,682,284,312,179,0.262463343,111,0.210626186,69,0.116751269,18,0.026392962,306,0.448680352,78,0.25,0.663683263,47.06660605,1.709699491,30.01047699,2.419E-08,0.027018864,0.797030475,2.791017443,47.05968301,9.900264384
3.7067E+11,0,1459,641,683,120,0.082248115,240,0.16449623,3,0.00295858,79,0.054146676,288,0.197395476,568,0.831625183,0.663683263,47.06660605,1.709699491,19.67377839,6.30205E-05,0.025882204,0.645230358,2.624902977,47.05968301,9.900264384
